Hour;Irradiance
10:39:25;472.00
10:39:58;465.00
10:40:31;461.00
10:41:04;458.00
10:41:37;453.00
10:42:10;450.00
10:42:43;447.00
10:43:16;441.00
10:43:49;437.00
10:44:22;433.00
10:44:55;433.00
10:45:28;431.00
10:46:01;431.00
10:46:34;432.00
10:47:07;443.00
10:47:40;457.00
10:48:13;461.00
10:48:46;466.00
10:49:19;470.00
10:49:52;471.00
10:50:25;472.00
10:50:58;471.00
10:51:31;478.00
10:52:04;486.00
10:52:37;499.00
10:53:10;512.00
10:53:43;518.00
10:54:16;526.00
10:54:49;531.00
10:55:22;530.00
10:55:55;525.00
10:56:28;519.00
10:57:01;514.00
10:57:34;512.00
10:58:07;507.00
10:58:40;499.00
10:59:13;490.00
10:59:46;485.00
11:00:19;491.00
11:00:52;489.00
11:01:25;480.00
11:01:58;473.00
11:02:31;473.00
11:03:04;475.00
11:03:37;480.00
11:04:10;470.00
11:04:43;461.00
11:05:16;457.00
11:05:49;456.00
11:06:22;456.00
11:06:55;454.00
11:07:28;447.00
11:08:01;446.00
11:08:34;449.00
11:09:07;459.00
11:09:40;471.00
11:10:13;477.00
11:10:46;476.00
11:11:19;476.00
11:11:52;476.00
11:12:25;476.00
11:12:58;483.00
11:13:31;496.00
11:14:04;507.00
11:14:37;515.00
11:15:10;515.00
11:15:43;510.00
11:16:16;503.00
11:16:49;492.00
11:17:22;486.00
11:17:55;475.00
11:18:28;467.00
11:19:01;462.00
11:19:34;455.00
11:20:07;447.00
11:20:40;441.00
11:21:13;433.00
11:21:46;426.00
11:22:19;421.00
11:22:52;418.00
11:23:25;418.00
11:23:58;414.00
11:24:31;409.00
11:25:04;403.00
11:25:37;399.00
11:26:10;397.00
11:26:43;394.00
11:27:16;389.00
11:27:49;385.00
11:28:22;385.00
11:28:55;386.00
11:29:28;386.00
11:30:01;386.00
11:30:34;388.00
11:31:07;390.00
11:31:40;389.00
11:32:13;389.00
11:32:46;389.00
11:33:19;391.00
11:33:52;394.00
11:34:25;395.00
11:34:58;398.00
11:35:31;402.00
11:36:04;417.00
11:36:37;433.00
11:37:10;443.00
11:37:43;444.00
11:38:16;447.00
11:38:49;457.00
11:39:22;464.00
11:39:55;466.00
11:40:28;469.00
11:41:01;466.00
11:41:34;465.00
11:42:07;462.00
11:42:40;464.00
11:43:13;467.00
11:43:46;465.00
11:44:19;463.00
11:44:52;463.00
11:45:25;463.00
11:45:58;463.00
11:46:31;462.00
11:47:04;461.00
11:47:37;461.00
11:48:10;461.00
11:48:43;459.00
11:49:16;461.00
11:49:49;458.00
11:50:22;456.00
11:50:55;449.00
11:51:28;448.00
11:52:01;448.00
11:52:34;453.00
11:53:07;461.00
11:53:40;469.00
11:54:13;474.00
11:54:46;482.00
11:55:19;489.00
11:55:52;487.00
11:56:25;485.00
11:56:58;485.00
11:57:31;493.00
11:58:04;502.00
11:58:37;510.00
11:59:10;516.00
11:59:43;512.00
12:00:16;509.00
12:00:49;509.00
12:01:22;504.00
12:01:55;497.00
12:02:28;493.00
12:03:01;486.00
12:03:34;477.00
12:04:07;465.00
12:04:40;455.00
12:05:13;445.00
12:05:46;434.00
12:06:19;422.00
12:06:52;410.00
12:07:25;401.00
12:07:58;392.00
12:08:31;385.00
12:09:04;378.00
12:09:37;372.00
12:10:10;367.00
12:10:43;363.00
12:11:16;361.00
12:11:49;358.00
12:12:22;355.00
12:12:55;353.00
12:13:28;353.00
12:14:01;351.00
12:14:34;348.00
12:15:07;344.00
12:15:40;342.00
12:16:13;343.00
12:16:46;343.00
12:17:19;343.00
12:17:52;343.00
12:18:25;342.00
12:18:58;344.00
12:19:31;345.00
12:20:04;346.00
12:20:37;349.00
12:21:10;350.00
12:21:43;351.00
12:22:16;354.00
12:22:49;356.00
12:23:22;360.00
12:23:55;365.00
12:24:28;370.00
12:25:01;378.00
12:25:34;392.00
12:26:07;410.00
12:26:40;426.00
