Hour;Irradiance
10:59:51;575.00
11:00:24;575.00
11:00:58;580.00
11:01:31;583.00
11:02:04;579.00
11:02:38;579.00
11:03:11;578.00
11:03:44;574.00
11:04:18;567.00
11:04:51;571.00
11:05:24;564.00
11:05:58;578.00
11:06:31;582.00
11:07:04;586.00
11:07:38;591.00
11:08:11;595.00
11:08:44;579.00
11:09:17;575.00
11:09:50;580.00
11:10:23;586.00
11:10:56;590.00
11:11:29;580.00
11:12:02;566.00
11:12:35;582.00
11:13:08;593.00
11:13:41;589.00
11:14:14;583.00
11:14:47;574.00
11:15:20;557.00
11:15:53;549.00
11:16:26;563.00
11:16:59;567.00
11:17:32;559.00
11:18:05;566.00
11:18:38;558.00
11:19:11;555.00
11:19:44;558.00
11:20:17;563.00
11:20:50;574.00
11:21:23;572.00
11:21:56;580.00
11:22:29;580.00
11:23:02;582.00
11:23:35;579.00
11:24:08;578.00
11:24:41;559.00
11:25:14;555.00
11:25:47;556.00
11:26:20;546.00
11:26:53;532.00
11:27:26;514.00
11:27:59;511.00
11:28:32;503.00
11:29:05;498.00
11:29:38;496.00
11:30:11;495.00
11:30:44;493.00
11:31:17;491.00
11:31:50;477.00
11:32:23;482.00
11:32:56;481.00
11:33:29;479.00
11:34:02;473.00
11:34:35;469.00
11:35:08;465.00
11:35:42;473.00
11:36:15;485.00
11:36:49;500.00
11:37:22;506.00
11:37:56;517.00
11:38:29;522.00
11:39:02;527.00
11:39:36;538.00
11:40:09;544.00
11:40:42;554.00
11:41:16;553.00
11:41:49;554.00
11:42:22;552.00
11:42:56;555.00
11:43:29;557.00
11:44:02;557.00
11:44:36;551.00
11:45:09;545.00
11:45:42;540.00
11:46:16;533.00
11:46:49;544.00
11:47:22;547.00
11:47:56;547.00
11:48:29;547.00
11:49:02;543.00
11:49:36;537.00
11:50:09;530.00
11:50:42;523.00
11:51:15;511.00
11:51:49;501.00
11:52:22;503.00
11:52:55;496.00
11:53:29;489.00
11:54:02;485.00
11:54:35;481.00
11:55:08;478.00
11:55:42;475.00
11:56:15;473.00
11:56:48;470.00
11:57:22;464.00
11:57:55;465.00
11:58:28;462.00
11:59:02;459.00
11:59:35;455.00
12:00:08;456.00
12:00:42;453.00
12:01:15;453.00
12:01:48;451.00
12:02:22;451.00
12:02:55;447.00
12:03:28;446.00
12:04:02;443.00
12:04:35;441.00
12:05:08;442.00
12:05:42;442.00
12:06:15;445.00
12:06:48;440.00
12:07:22;441.00
12:07:55;448.00
12:08:28;449.00
12:09:01;452.00
12:09:34;453.00
12:10:07;457.00
12:10:41;453.00
12:11:13;452.00
12:11:47;461.00
12:12:20;460.00
12:12:53;462.00
12:13:26;467.00
12:13:59;471.00
12:14:32;468.00
12:15:05;467.00
12:15:37;463.00
12:16:19;461.00
12:16:52;460.00
12:17:25;454.00
12:17:58;451.00
12:18:31;441.00
12:19:12;439.00
12:19:53;437.00
12:20:26;439.00
12:20:59;437.00
12:21:31;433.00
12:22:04;434.00
12:22:46;431.00
12:23:19;428.00
12:23:52;421.00
12:24:25;416.00
12:24:58;414.00
12:25:39;415.00
12:26:12;411.00
12:26:44;416.00
12:27:17;415.00
12:27:59;408.00
12:28:32;407.00
12:29:04;408.00
12:29:37;409.00
12:30:10;412.00
12:30:43;414.00
12:31:16;411.00
12:31:49;411.00
12:32:22;411.00
12:32:55;410.00
12:33:28;414.00
12:34:01;413.00
12:34:34;411.00
12:35:07;410.00
12:35:40;412.00
12:36:13;414.00
12:36:46;415.00
12:37:19;413.00
12:37:52;410.00
12:38:25;412.00
12:38:58;411.00
12:39:31;412.00
12:40:04;411.00
12:40:37;408.00
12:41:10;407.00
12:41:43;408.00
12:42:16;406.00
12:42:49;414.00
12:43:22;419.00
12:43:55;420.00
12:44:28;418.00
12:45:01;417.00
12:45:34;422.00
12:46:07;423.00
12:46:40;420.00
12:47:13;422.00
12:47:46;429.00
12:48:19;440.00
12:48:52;458.00
12:49:25;472.00
12:49:58;490.00
12:50:31;502.00
12:51:04;511.00
12:51:37;526.00
12:52:10;522.00
12:52:43;515.00
12:53:16;528.00
12:53:49;552.00
12:54:22;557.00
12:54:55;558.00
12:55:28;560.00
12:56:01;569.00
12:56:34;564.00
12:57:07;562.00
12:57:40;577.00
12:58:13;579.00
12:58:46;567.00
12:59:19;563.00
13:00:01;556.00
13:00:33;555.00
13:01:07;559.00
13:01:39;560.00
13:02:13;563.00
13:02:46;566.00
13:03:19;558.00
13:03:53;547.00
13:04:26;543.00
13:04:59;527.00
13:05:33;525.00
13:06:06;526.00
13:06:39;519.00
13:07:13;510.00
13:07:46;507.00
13:08:19;503.00
13:08:53;496.00
13:09:26;491.00
13:09:59;485.00
13:10:33;477.00
13:11:06;473.00
13:11:39;469.00
13:12:13;463.00
13:12:46;454.00
13:13:19;443.00
13:13:52;441.00
13:14:26;434.00
13:14:59;432.00
13:15:32;428.00
13:16:06;423.00
13:16:39;421.00
13:17:12;416.00
